,x_yng,x_old
562,"[-27.4987     -29.25045025 -34.31587168 -42.14604727 -51.89245601
 -62.49892327 -72.81607376 -81.72588412 -88.26283817 -91.71855548
 -91.71855548 -88.26283817 -81.72588412 -72.81607376 -62.49892327
 -51.89245601 -42.14604727 -34.31587168 -29.25045025 -27.4987    ]","[-116.1295     -115.40469182 -113.30881151 -110.06898021 -106.03628391
 -101.64772784  -97.37888013  -93.69233669  -90.98759168  -89.55774621
  -89.55774621  -90.98759168  -93.69233669  -97.37888013 -101.64772784
 -106.03628391 -110.06898021 -113.30881151 -115.40469182 -116.1295    ]"
563,"[-119.1706     -116.38510232 -108.33046119  -95.87952195  -80.38153705
  -63.51595365  -47.11041941  -32.9427285   -22.54817008  -17.05315584
  -17.05315584  -22.54817008  -32.9427285   -47.11041941  -63.51595365
  -80.38153705  -95.87952195 -108.33046119 -116.38510232 -119.1706    ]","[-108.6627     -108.45607947 -107.85860842 -106.93503211 -105.78543436
 -104.53439192 -103.31747467 -102.26655445 -101.4955148  -101.08790981
 -101.08790981 -101.4955148  -102.26655445 -103.31747467 -104.53439192
 -105.78543436 -106.93503211 -107.85860842 -108.45607947 -108.6627    ]"
564,"[-8.3171     -8.15923853 -7.70276087 -6.99713346 -6.11882197 -5.16300508
 -4.23326038 -3.43034014 -2.84125323 -2.52983634 -2.52983634 -2.84125323
 -3.43034014 -4.23326038 -5.16300508 -6.11882197 -6.99713346 -7.70276087
 -8.15923853 -8.3171    ]","[-11.9212     -12.96869359 -15.99766219 -20.67987004 -26.50792727
 -32.85027345 -39.01961697 -44.34741371 -48.25631424 -50.32272853
 -50.32272853 -48.25631424 -44.34741371 -39.01961697 -32.85027345
 -26.50792727 -20.67987004 -15.99766219 -12.96869359 -11.9212    ]"
565,"[-73.9578     -74.54941612 -76.26015369 -78.90462776 -82.19626851
 -85.77837562 -89.26277217 -92.27186975 -94.47958594 -95.64668044
 -95.64668044 -94.47958594 -92.27186975 -89.26277217 -85.77837562
 -82.19626851 -78.90462776 -76.26015369 -74.54941612 -73.9578    ]","[ -45.7266      -47.62031449  -53.09624463  -61.5609884   -72.09725948
  -83.56328941  -94.71655594 -104.34842957 -111.41514734 -115.15092073
 -115.15092073 -111.41514734 -104.34842957  -94.71655594  -83.56328941
  -72.09725948  -61.5609884   -53.09624463  -47.62031449  -45.7266    ]"
566,"[-22.0905     -24.19973725 -30.29888042 -39.72699271 -51.46239186
 -64.23336528 -76.65597983 -87.38405248 -95.25503008 -99.41597009
 -99.41597009 -95.25503008 -87.38405248 -76.65597983 -64.23336528
 -51.46239186 -39.72699271 -30.29888042 -24.19973725 -22.0905    ]","[-89.1638     -88.05564339 -84.85125953 -79.89789312 -73.73231828
 -67.02267071 -60.49604484 -54.85970184 -50.72442695 -48.53834135
 -48.53834135 -50.72442695 -54.85970184 -60.49604484 -67.02267071
 -73.73231828 -79.89789312 -84.85125953 -88.05564339 -89.1638    ]"
567,"[-10.6446     -12.27389722 -16.98522923 -24.26805011 -33.33315321
 -43.19819395 -52.7941421  -61.08112777 -67.16112749 -70.37527894
 -70.37527894 -67.16112749 -61.08112777 -52.7941421  -43.19819395
 -33.33315321 -24.26805011 -16.98522923 -12.27389722 -10.6446    ]","[-23.8719     -25.35878867 -29.65832723 -36.30459395 -44.57736271
 -53.58015066 -62.33736601 -69.90002862 -75.44860663 -78.38182552
 -78.38182552 -75.44860663 -69.90002862 -62.33736601 -53.58015066
 -44.57736271 -36.30459395 -29.65832723 -25.35878867 -23.8719    ]"
568,"[-96.173      -95.88386997 -95.04781159 -93.75542476 -92.14675966
 -90.3961401  -88.69327287 -87.22269008 -86.14375217 -85.57337881
 -85.57337881 -86.14375217 -87.22269008 -88.69327287 -90.3961401
 -92.14675966 -93.75542476 -95.04781159 -95.88386997 -96.173     ]","[-96.2528     -96.00448042 -95.28643095 -94.17646341 -92.79485999
 -91.29133886 -89.82882987 -88.56581856 -87.6391718  -87.14930615
 -87.14930615 -87.6391718  -88.56581856 -89.82882987 -91.29133886
 -92.79485999 -94.17646341 -95.28643095 -96.00448042 -96.2528    ]"
569,"[-106.9745     -106.91783025 -106.75396206 -106.50065308 -106.18535327
 -105.84223026 -105.50846676 -105.2202312  -105.0087584  -104.89696471
 -104.89696471 -105.0087584  -105.2202312  -105.50846676 -105.84223026
 -106.18535327 -106.50065308 -106.75396206 -106.91783025 -106.9745    ]","[ -43.7135      -45.25045896  -49.69478248  -56.56485916  -65.11620957
  -74.42216223  -83.47427275  -91.29160452  -97.02702832 -100.059022
 -100.059022    -97.02702832  -91.29160452  -83.47427275  -74.42216223
  -65.11620957  -56.56485916  -49.69478248  -45.25045896  -43.7135    ]"
570,"[-102.6795     -101.15744672  -96.75622496  -89.9527754   -81.48435737
  -72.26865535  -63.30433366  -55.56281564  -49.88301491  -46.88042599
  -46.88042599  -49.88301491  -55.56281564  -63.30433366  -72.26865535
  -81.48435737  -89.9527754   -96.75622496 -101.15744672 -102.6795    ]","[-96.6738     -96.49943447 -95.99523307 -95.21583387 -94.24569685
 -93.18995141 -92.16300395 -91.27614017 -90.62546552 -90.28149069
 -90.28149069 -90.62546552 -91.27614017 -92.16300395 -93.18995141
 -94.24569685 -95.21583387 -95.99523307 -96.49943447 -96.6738    ]"
571,"[-51.1014     -51.0246447  -50.80269645 -50.45960676 -50.03255474
 -49.5678181  -49.11575826 -48.72536293 -48.43893748 -48.28752058
 -48.28752058 -48.43893748 -48.72536293 -49.11575826 -49.5678181
 -50.03255474 -50.45960676 -50.80269645 -51.0246447  -51.1014    ]","[-115.4551     -115.52077492 -115.71068279 -116.00424414 -116.36964704
 -116.76729442 -117.15409502 -117.48813299 -117.73321013 -117.86276854
 -117.86276854 -117.73321013 -117.48813299 -117.15409502 -116.76729442
 -116.36964704 -116.00424414 -115.71068279 -115.52077492 -115.4551    ]"
572,"[  -2.523        -5.28802201  -13.28345501  -25.64286976  -41.02693191
  -57.76853961  -74.05347989  -88.11702679  -98.43517679 -103.88979822
 -103.88979822  -98.43517679  -88.11702679  -74.05347989  -57.76853961
  -41.02693191  -25.64286976  -13.28345501   -5.28802201   -2.523     ]","[-8.8625     -8.64851603 -8.02975261 -7.07326236 -5.88269583 -4.58706939
 -3.32678426 -2.23841189 -1.43989431 -1.0177633  -1.0177633  -1.43989431
 -2.23841189 -3.32678426 -4.58706939 -5.88269583 -7.07326236 -8.02975261
 -8.64851603 -8.8625    ]"
573,"[-110.5233     -108.94057828 -104.36392559  -97.28929326  -88.48332747
  -78.90029126  -69.57865529  -61.52856347  -55.62236815  -52.50009724
  -52.50009724  -55.62236815  -61.52856347  -69.57865529  -78.90029126
  -88.48332747  -97.28929326 -104.36392559 -108.94057828 -110.5233    ]","[-112.71       -112.25237784 -110.92910183 -108.88356945 -106.33744588
 -103.56664311 -100.87142061  -98.54384757  -96.83615264  -95.93339107
  -95.93339107  -96.83615264  -98.54384757 -100.87142061 -103.56664311
 -106.33744588 -108.88356945 -110.92910183 -112.25237784 -112.71      ]"
574,"[-14.2596     -13.8749566  -12.76270848 -11.04338497  -8.90330147
  -6.57436923  -4.30896418  -2.35257812  -0.91721584  -0.15842111
  -0.15842111  -0.91721584  -2.35257812  -4.30896418  -6.57436923
  -8.90330147 -11.04338497 -12.76270848 -13.8749566  -14.2596    ]","[ -96.7035      -97.28536864  -98.96792007 -101.56882373 -104.80623135
 -108.32931959 -111.75630717 -114.7158268  -116.88716861 -118.03503404
 -118.03503404 -116.88716861 -114.7158268  -111.75630717 -108.32931959
 -104.80623135 -101.56882373  -98.96792007  -97.28536864  -96.7035    ]"
575,"[-28.5424     -27.97312885 -26.32700476 -23.78241082 -20.61509327
 -17.16828011 -13.81548702 -10.92004117  -8.79570903  -7.67269497
  -7.67269497  -8.79570903 -10.92004117 -13.81548702 -17.16828011
 -20.61509327 -23.78241082 -26.32700476 -27.97312885 -28.5424    ]","[ -5.9131      -6.92781844  -9.86201328 -14.39771898 -20.04342144
 -26.18732121 -32.1636314  -37.32472609 -41.11132057 -43.11307858
 -43.11307858 -41.11132057 -37.32472609 -32.1636314  -26.18732121
 -20.04342144 -14.39771898  -9.86201328  -6.92781844  -5.9131    ]"
576,"[-26.5592     -25.98284175 -24.31622434 -21.73995164 -18.53320277
 -15.04347873 -11.64894526  -8.71745274  -6.56667387  -5.42967891
  -5.42967891  -6.56667387  -8.71745274 -11.64894526 -15.04347873
 -18.53320277 -21.73995164 -24.31622434 -25.98284175 -26.5592    ]","[-39.6613     -40.76473187 -43.95545353 -48.88770076 -55.02698805
 -61.70802837 -68.20682732 -73.81913921 -77.93678294 -80.11354794
 -80.11354794 -77.93678294 -73.81913921 -68.20682732 -61.70802837
 -55.02698805 -48.88770076 -43.95545353 -40.76473187 -39.6613    ]"
577,"[ -40.855       -42.99664396  -49.18949548  -58.76246302  -70.67816699
  -83.64535598  -96.25883386 -107.15173458 -115.14364333 -119.36851279
 -119.36851279 -115.14364333 -107.15173458  -96.25883386  -83.64535598
  -70.67816699  -58.76246302  -49.18949548  -42.99664396  -40.855     ]","[-1.4752     -1.6609981  -2.19825828 -3.02876007 -4.06250572 -5.18747283
 -6.28175378 -7.22676624 -7.92010344 -8.28663155 -8.28663155 -7.92010344
 -7.22676624 -6.28175378 -5.18747283 -4.06250572 -3.02876007 -2.19825828
 -1.6609981  -1.4752    ]"
578,"[-57.5259     -57.89990733 -58.98139981 -60.65318095 -62.73408733
 -64.99862045 -67.20138301 -69.1036715  -70.49934346 -71.23715617
 -71.23715617 -70.49934346 -69.1036715  -67.20138301 -64.99862045
 -62.73408733 -60.65318095 -58.98139981 -57.89990733 -57.5259    ]","[-62.1695     -60.97786943 -57.5321094  -52.20562145 -45.57561322
 -38.36054897 -31.34229286 -25.28138185 -20.83460968 -18.48385313
 -18.48385313 -20.83460968 -25.28138185 -31.34229286 -38.36054897
 -45.57561322 -52.20562145 -57.5321094  -60.97786943 -62.1695    ]"
579,"[-95.1047     -93.11921075 -87.37790157 -78.50293239 -67.45604384
 -55.43433769 -43.74055235 -33.6418909  -26.23270002 -22.31588049
 -22.31588049 -26.23270002 -33.6418909  -43.74055235 -55.43433769
 -67.45604384 -78.50293239 -87.37790157 -93.11921075 -95.1047    ]","[ -5.4125      -5.68834442  -6.48598567  -7.71898693  -9.25373338
 -10.92391145 -12.54853141 -13.95154048 -14.98090087 -15.5250654
 -15.5250654  -14.98090087 -13.95154048 -12.54853141 -10.92391145
  -9.25373338  -7.71898693  -6.48598567  -5.68834442  -5.4125    ]"
580,"[ -97.133       -97.74932346  -99.53150562 -102.2864194  -105.71552713
 -109.4472318  -113.07714529 -116.21191015 -118.51182597 -119.72766119
 -119.72766119 -118.51182597 -116.21191015 -113.07714529 -109.4472318
 -105.71552713 -102.2864194   -99.53150562  -97.74932346  -97.133     ]","[-6.0353     -5.93181635 -5.63257946 -5.17001629 -4.59425273 -3.96768171
 -3.35820191 -2.83185993 -2.44569308 -2.24154855 -2.24154855 -2.44569308
 -2.83185993 -3.35820191 -3.96768171 -4.59425273 -5.17001629 -5.63257946
 -5.93181635 -6.0353    ]"
581,"[-101.5167     -101.19379243 -100.26006178  -98.81669224  -97.02009531
  -95.06496013  -93.16315595  -91.52077275  -90.31578823  -89.67878118
  -89.67878118  -90.31578823  -91.52077275  -93.16315595  -95.06496013
  -97.02009531  -98.81669224 -100.26006178 -101.19379243 -101.5167    ]","[-94.5578     -93.79523728 -91.59018462 -88.18159368 -83.9388382
 -79.32168655 -74.83047876 -70.95190689 -68.10627437 -66.60194965
 -66.60194965 -68.10627437 -70.95190689 -74.83047876 -79.32168655
 -83.9388382  -88.18159368 -91.59018462 -93.79523728 -94.5578    ]"
582,"[ -8.0021      -8.50807485  -9.97116918 -12.23283402 -15.04798288
 -18.1115507  -21.09155238 -23.6650585  -25.55318973 -26.55133776
 -26.55133776 -25.55318973 -23.6650585  -21.09155238 -18.1115507
 -15.04798288 -12.23283402  -9.97116918  -8.50807485  -8.0021    ]","[-34.5683     -34.10459854 -32.76374339 -30.69103703 -28.11108935
 -25.3034777  -22.57245039 -20.21395658 -18.48357569 -17.56882133
 -17.56882133 -18.48357569 -20.21395658 -22.57245039 -25.3034777
 -28.11108935 -30.69103703 -32.76374339 -34.10459854 -34.5683    ]"
583,"[-113.0908     -113.12560159 -113.22623505 -113.3817952  -113.57542467
 -113.78614071 -113.99110897 -114.16811795 -114.29798599 -114.36663987
 -114.36663987 -114.29798599 -114.16811795 -113.99110897 -113.78614071
 -113.57542467 -113.3817952  -113.22623505 -113.12560159 -113.0908    ]","[-117.9583     -116.73228505 -113.18709796 -107.70691475 -100.88559831
  -93.46234412  -86.24157695  -80.00577897  -75.43069564  -73.01210824
  -73.01210824  -75.43069564  -80.00577897  -86.24157695  -93.46234412
 -100.88559831 -107.70691475 -113.18709796 -116.73228505 -117.9583    ]"
584,"[-55.4481     -56.448693   -59.34204221 -63.81460836 -69.38171951
 -75.44009277 -81.33320941 -86.42245878 -90.15634176 -92.13023419
 -92.13023419 -90.15634176 -86.42245878 -81.33320941 -75.44009277
 -69.38171951 -63.81460836 -59.34204221 -56.448693   -55.4481    ]","[ -51.0435      -52.77418399  -57.77868951  -65.51470071  -75.14390076
  -85.62281642  -95.81589458 -104.61855705 -111.07689877 -114.49105821
 -114.49105821 -111.07689877 -104.61855705  -95.81589458  -85.62281642
  -75.14390076  -65.51470071  -57.77868951  -52.77418399  -51.0435    ]"
585,"[-103.2459     -103.27661079 -103.36541516 -103.50268978 -103.67355883
 -103.85950597 -104.04038097 -104.19658319 -104.31118572 -104.37176959
 -104.37176959 -104.31118572 -104.19658319 -104.04038097 -103.85950597
 -103.67355883 -103.50268978 -103.36541516 -103.27661079 -103.2459    ]","[-9.1913     -9.13830384 -8.98505833 -8.74816999 -8.45330935 -8.13242914
 -7.82030171 -7.55075089 -7.35298672 -7.24844001 -7.24844001 -7.35298672
 -7.55075089 -7.82030171 -8.13242914 -8.45330935 -8.74816999 -8.98505833
 -9.13830384 -9.1913    ]"
586,"[-114.6357     -114.46409779 -113.96788691 -113.20083951 -112.24607709
 -111.20706295 -110.19639042 -109.32358153 -108.68321868 -108.34469512
 -108.34469512 -108.68321868 -109.32358153 -110.19639042 -111.20706295
 -112.24607709 -113.20083951 -113.96788691 -114.46409779 -114.6357    ]","[-88.1173     -88.16887115 -88.31799606 -88.54851474 -88.83544691
 -89.14769902 -89.45143371 -89.7137366  -89.90618312 -90.00791869
 -90.00791869 -89.90618312 -89.7137366  -89.45143371 -89.14769902
 -88.83544691 -88.54851474 -88.31799606 -88.16887115 -88.1173    ]"
587,"[-113.2219     -112.93927731 -112.12203581 -110.85873629 -109.28627685
 -107.57505788 -105.9105165  -104.47303159 -103.41837697 -102.86084081
 -102.86084081 -103.41837697 -104.47303159 -105.9105165  -107.57505788
 -109.28627685 -110.85873629 -112.12203581 -112.93927731 -113.2219    ]","[ -95.2662      -95.41002813  -95.82592652  -96.46882611  -97.26905877
  -98.13990687  -98.9870005   -99.71854393 -100.25526307 -100.53899608
 -100.53899608 -100.25526307  -99.71854393  -98.9870005   -98.13990687
  -97.26905877  -96.46882611  -95.82592652  -95.41002813  -95.2662    ]"
588,"[-98.3811     -96.7772145  -92.13936387 -84.97013121 -76.0464141
 -66.33523576 -56.88895306 -48.73121729 -42.7460457  -39.58202451
 -39.58202451 -42.7460457  -48.73121729 -56.88895306 -66.33523576
 -76.0464141  -84.97013121 -92.13936387 -96.7772145  -98.3811    ]","[-110.9062     -110.95847553 -111.10963724 -111.34330442 -111.6341556
 -111.95067255 -112.25855575 -112.52444126 -112.71951628 -112.82264139
 -112.82264139 -112.71951628 -112.52444126 -112.25855575 -111.95067255
 -111.6341556  -111.34330442 -111.10963724 -110.95847553 -110.9062    ]"
589,"[-31.0824     -32.1264855  -35.14559913 -39.81257308 -45.62166831
 -51.94337921 -58.09265032 -63.4031127  -67.29929534 -69.35898641
 -69.35898641 -67.29929534 -63.4031127  -58.09265032 -51.94337921
 -45.62166831 -39.81257308 -35.14559913 -32.1264855  -31.0824    ]","[ -13.9567      -16.43249987  -23.59160813  -34.65822434  -48.43310889
  -63.42353932  -78.00506989  -90.59756549  -99.83643385 -104.72050022
 -104.72050022  -99.83643385  -90.59756549  -78.00506989  -63.42353932
  -48.43310889  -34.65822434  -23.59160813  -16.43249987  -13.9567    ]"
590,"[ -25.2657      -27.68786435  -34.69187832  -45.51874832  -58.99521498
  -73.66089403  -87.92653159 -100.24622447 -109.28494278 -114.06320116
 -114.06320116 -109.28494278 -100.24622447  -87.92653159  -73.66089403
  -58.99521498  -45.51874832  -34.69187832  -27.68786435  -25.2657    ]","[-110.4182     -110.53729912 -110.88169025 -111.41405325 -112.07669835
 -112.79781766 -113.49926671 -114.10503262 -114.54947125 -114.78442078
 -114.78442078 -114.54947125 -114.10503262 -113.49926671 -112.79781766
 -112.07669835 -111.41405325 -110.88169025 -110.53729912 -110.4182    ]"
591,"[-103.2872     -102.33555571  -99.58374825  -95.32997867  -90.0352089
  -84.27320941  -78.66838224  -73.82809739  -70.27687482  -68.39954461
  -68.39954461  -70.27687482  -73.82809739  -78.66838224  -84.27320941
  -90.0352089   -95.32997867  -99.58374825 -102.33555571 -103.2872    ]","[ -94.976       -95.37887048  -96.54382466  -98.34462167 -100.58611721
 -103.02541047 -105.39816616 -107.4472594  -108.95063913 -109.74539084
 -109.74539084 -108.95063913 -107.4472594  -105.39816616 -103.02541047
 -100.58611721  -98.34462167  -96.54382466  -95.37887048  -94.976     ]"
592,"[-61.4706     -60.32317173 -57.00522857 -51.87632114 -45.49224616
 -38.5448172  -31.78689599 -25.95080816 -21.66898437 -19.40542668
 -19.40542668 -21.66898437 -25.95080816 -31.78689599 -38.5448172
 -45.49224616 -51.87632114 -57.00522857 -60.32317173 -61.4706    ]","[-70.161      -70.51547444 -71.54048496 -73.12495576 -75.09718485
 -77.24345059 -79.33117181 -81.1341115  -82.45689318 -83.15617292
 -83.15617292 -82.45689318 -81.1341115  -79.33117181 -77.24345059
 -75.09718485 -73.12495576 -71.54048496 -70.51547444 -70.161     ]"
593,"[-111.5017     -110.01271446 -105.70711251  -99.05147294  -90.76703758
  -81.75155352  -72.98198837  -65.40866059  -59.85225774  -56.91490229
  -56.91490229  -59.85225774  -65.40866059  -72.98198837  -81.75155352
  -90.76703758  -99.05147294 -105.70711251 -110.01271446 -111.5017    ]","[ -1.1663      -2.69356566  -7.10985972 -13.93660818 -22.43402693
 -31.68128878 -40.67630944 -48.44433884 -54.14359047 -57.15646197
 -57.15646197 -54.14359047 -48.44433884 -40.67630944 -31.68128878
 -22.43402693 -13.93660818  -7.10985972  -2.69356566  -1.1663    ]"
594,"[-112.601      -112.01141032 -110.30653245 -107.67111638 -104.39075033
 -100.82091285  -97.34845124  -94.34966058  -92.14950638  -90.98640948
  -90.98640948  -92.14950638  -94.34966058  -97.34845124 -100.82091285
 -104.39075033 -107.67111638 -110.30653245 -112.01141032 -112.601     ]","[-52.2755     -52.32434576 -52.46558983 -52.68392624 -52.95569483
 -53.25144528 -53.53912843 -53.78756934 -53.96984559 -54.06620472
 -54.06620472 -53.96984559 -53.78756934 -53.53912843 -53.25144528
 -52.95569483 -52.68392624 -52.46558983 -52.32434576 -52.2755    ]"
595,"[-12.9962     -13.48159082 -14.88516366 -17.05481962 -19.75544281
 -22.69437881 -25.55314829 -28.02195923 -29.83327765 -30.7908191
 -30.7908191  -29.83327765 -28.02195923 -25.55314829 -22.69437881
 -19.75544281 -17.05481962 -14.88516366 -13.48159082 -12.9962    ]","[-108.5342     -106.25686616  -99.67164909  -89.49215925  -76.82150232
  -63.03274056  -49.62010028  -38.03704918  -29.53879055  -25.0462426
  -25.0462426   -29.53879055  -38.03704918  -49.62010028  -63.03274056
  -76.82150232  -89.49215925  -99.67164909 -106.25686616 -108.5342    ]"
596,"[-84.9702     -84.34934686 -82.55406653 -79.77890547 -76.32459545
 -72.56546457 -68.90887298 -65.75106911 -63.43425002 -62.209479
 -62.209479   -63.43425002 -65.75106911 -68.90887298 -72.56546457
 -76.32459545 -79.77890547 -82.55406653 -84.34934686 -84.9702    ]","[-58.2622     -56.71118062 -52.22619948 -45.29327389 -36.66369391
 -27.27260843 -18.13768728 -10.24884092  -4.46094824  -1.40121724
  -1.40121724  -4.46094824 -10.24884092 -18.13768728 -27.27260843
 -36.66369391 -45.29327389 -52.22619948 -56.71118062 -58.2622    ]"
597,"[-95.8821     -94.00770708 -88.58764787 -80.20926989 -69.78050039
 -58.43145838 -47.39198865 -37.85838904 -30.863773   -27.16611571
 -27.16611571 -30.863773   -37.85838904 -47.39198865 -58.43145838
 -69.78050039 -80.20926989 -88.58764787 -94.00770708 -95.8821    ]","[-118.6254     -117.02837945 -112.41037977 -105.27183288  -96.38631109
  -86.71669857  -77.31084787  -69.18802886  -63.22847503  -60.07799649
  -60.07799649  -63.22847503  -69.18802886  -77.31084787  -86.71669857
  -96.38631109 -105.27183288 -112.41037977 -117.02837945 -118.6254    ]"
598,"[-118.3834     -115.52029094 -107.24122606  -94.44337049  -78.51357047
  -61.178067    -44.31543088  -29.75299038  -19.06881188  -13.42069191
  -13.42069191  -19.06881188  -29.75299038  -44.31543088  -61.178067
  -78.51357047  -94.44337049 -107.24122606 -115.52029094 -118.3834    ]","[ -72.814       -73.68788662  -76.21484729  -80.12104663  -84.98318732
  -90.27438097  -95.42124466  -99.86603583 -103.1270924  -104.85102828
 -104.85102828 -103.1270924   -99.86603583  -95.42124466  -90.27438097
  -84.98318732  -80.12104663  -76.21484729  -73.68788662  -72.814     ]"
599,"[-118.0485     -118.01839606 -117.93134647 -117.7967844  -117.62929174
 -117.44701892 -117.26971802 -117.11660236 -117.00426438 -116.94487766
 -116.94487766 -117.00426438 -117.11660236 -117.26971802 -117.44701892
 -117.62929174 -117.7967844  -117.93134647 -118.01839606 -118.0485    ]","[-50.8424     -51.1225953  -51.93281768 -53.18526699 -54.7442209
 -56.44074257 -58.09098755 -59.51612619 -60.56172261 -61.11447021
 -61.11447021 -60.56172261 -59.51612619 -58.09098755 -56.44074257
 -54.7442209  -53.18526699 -51.93281768 -51.1225953  -50.8424    ]"
600,"[-112.4703     -112.5368581  -112.7293198  -113.02682888 -113.39714563
 -113.80014047 -114.19214266 -114.53067268 -114.77904556 -114.91034623
 -114.91034623 -114.77904556 -114.53067268 -114.19214266 -113.80014047
 -113.39714563 -113.02682888 -112.7293198  -112.5368581  -112.4703    ]","[-14.9079     -15.09400694 -15.63216018 -16.46404247 -17.49950645
 -18.62634354 -19.72244344 -20.66902674 -21.36351644 -21.7306538
 -21.7306538  -21.36351644 -20.66902674 -19.72244344 -18.62634354
 -17.49950645 -16.46404247 -15.63216018 -15.09400694 -14.9079    ]"
601,"[-22.5382     -23.89799759 -27.83003521 -33.90821555 -41.47387347
 -49.70715254 -57.71584922 -64.63209696 -69.706413   -72.38891645
 -72.38891645 -69.706413   -64.63209696 -57.71584922 -49.70715254
 -41.47387347 -33.90821555 -27.83003521 -23.89799759 -22.5382    ]","[-16.2971     -16.91166794 -18.68877377 -21.43584052 -24.85518086
 -28.57625623 -32.19583035 -35.32166623 -37.61503102 -38.82740308
 -38.82740308 -37.61503102 -35.32166623 -32.19583035 -28.57625623
 -24.85518086 -21.43584052 -18.68877377 -16.91166794 -16.2971    ]"
602,"[-114.1087     -111.95978471 -105.74590717  -96.14043743  -84.18427716
  -71.17306187  -58.51675861  -47.58687423  -39.56783129  -35.32861753
  -35.32861753  -39.56783129  -47.58687423  -58.51675861  -71.17306187
  -84.18427716  -96.14043743 -105.74590717 -111.95978471 -114.1087    ]","[ -0.6283      -2.55214553  -8.11520359 -16.71463053 -27.418545
 -39.06701179 -50.39773876 -60.18286585 -67.36202269 -71.15723626
 -71.15723626 -67.36202269 -60.18286585 -50.39773876 -39.06701179
 -27.418545   -16.71463053  -8.11520359  -2.55214553  -0.6283    ]"
603,"[-119.0942     -119.10332979 -119.12972982 -119.17053924 -119.2213357
 -119.27661462 -119.33038568 -119.37682194 -119.41089133 -119.42890188
 -119.42890188 -119.41089133 -119.37682194 -119.33038568 -119.27661462
 -119.2213357  -119.17053924 -119.12972982 -119.10332979 -119.0942    ]","[-17.2066     -16.74267097 -15.40115778 -13.32743421 -10.74622039
  -7.93723087  -5.20486327  -2.845212    -1.1139819   -0.19877861
  -0.19877861  -1.1139819   -2.845212    -5.20486327  -7.93723087
 -10.74622039 -13.32743421 -15.40115778 -16.74267097 -17.2066    ]"
604,"[-50.2872     -51.54371984 -55.17711593 -60.79365343 -67.78469336
 -75.39264805 -82.79307758 -89.18403056 -93.87294808 -96.35171317
 -96.35171317 -93.87294808 -89.18403056 -82.79307758 -75.39264805
 -67.78469336 -60.79365343 -55.17711593 -51.54371984 -50.2872    ]","[ -16.4245      -18.95026179  -26.25384167  -37.54378344  -51.59664673
  -66.88958574  -81.76537324  -94.61198683 -104.0372966  -109.01992397
 -109.01992397 -104.0372966   -94.61198683  -81.76537324  -66.88958574
  -51.59664673  -37.54378344  -26.25384167  -18.95026179  -16.4245    ]"
605,"[-106.9866     -107.21582016 -107.87864107 -108.90323582 -110.17857365
 -111.56645192 -112.91647249 -114.08233969 -114.9377137  -115.38990149
 -115.38990149 -114.9377137  -114.08233969 -112.91647249 -111.56645192
 -110.17857365 -108.90323582 -107.87864107 -107.21582016 -106.9866    ]","[ -4.3204      -4.80502685  -6.20639054  -8.37263159 -11.06900416
 -14.00331444 -16.85758439 -19.32250956 -21.13097707 -22.08701141
 -22.08701141 -21.13097707 -19.32250956 -16.85758439 -14.00331444
 -11.06900416  -8.37263159  -6.20639054  -4.80502685  -4.3204    ]"
606,"[-55.639      -55.82248991 -56.35307566 -57.17326006 -58.1941634
 -59.30515495 -60.38584156 -61.31911404 -62.00383786 -62.36581255
 -62.36581255 -62.00383786 -61.31911404 -60.38584156 -59.30515495
 -58.1941634  -57.17326006 -56.35307566 -55.82248991 -55.639     ]","[-101.04       -100.93865657 -100.64560841 -100.19261183  -99.62875606
  -99.01514359  -98.41826888  -97.90281255  -97.5246323   -97.32470982
  -97.32470982  -97.5246323   -97.90281255  -98.41826888  -99.01514359
  -99.62875606 -100.19261183 -100.64560841 -100.93865657 -101.04      ]"
607,"[-91.7208     -91.91214641 -92.46545029 -93.32075258 -94.385368
 -95.54392896 -96.67088739 -97.64411987 -98.35816155 -98.73563494
 -98.73563494 -98.35816155 -97.64411987 -96.67088739 -95.54392896
 -94.385368   -93.32075258 -92.46545029 -91.91214641 -91.7208    ]","[ -97.2319      -97.48607674  -98.22106296  -99.3572115  -100.77140303
 -102.31038797 -103.80739341 -105.10019558 -106.04869931 -106.55011951
 -106.55011951 -106.04869931 -105.10019558 -103.80739341 -102.31038797
 -100.77140303  -99.3572115   -98.22106296  -97.48607674  -97.2319    ]"
608,"[-82.1069     -80.03192251 -74.03184603 -64.75687197 -53.21208767
 -40.64854964 -28.42771219 -17.87389266 -10.13076117  -6.03740616
  -6.03740616 -10.13076117 -17.87389266 -28.42771219 -40.64854964
 -53.21208767 -64.75687197 -74.03184603 -80.03192251 -82.1069    ]","[-64.6609     -62.94819385 -57.99567367 -50.34002189 -40.81084715
 -30.44078341 -20.35358797 -11.64236498  -5.25111062  -1.87241647
  -1.87241647  -5.25111062 -11.64236498 -20.35358797 -30.44078341
 -40.81084715 -50.34002189 -57.99567367 -62.94819385 -64.6609    ]"
